"","kd_wilayah","r101","r102","r103","r104","r105","rasio_tani","sektor_utama","jumlah_bank","jumlah_koperasi","keberadaan_toko_sarana_pertanian","keberadaan_fasilitas_kredit","cluster"
"594",5108050015,"[51] BALI","[08] BULELENG","[050] SUKASADA","[015] KAYUPUTIH","2. Perdesaan",0.41,"Lainnya",1,0,"Ada","Ada",2
"595",5108050014,"[51] BALI","[08] BULELENG","[050] SUKASADA","[014] SELAT","1. Perkotaan",0.56,"Lainnya",1,0,"Ada","Ada",2
"596",5108050003,"[51] BALI","[08] BULELENG","[050] SUKASADA","[003] AMBENGAN","2. Perdesaan",0.52,"Lainnya",1,5,"Tidak ada","Ada",1
"597",5108050006,"[51] BALI","[08] BULELENG","[050] SUKASADA","[006] SILANGJANA","2. Perdesaan",0.7,"Pertanian Tanaman Pangan",1,0,"Ada","Ada",2
"598",5108050011,"[51] BALI","[08] BULELENG","[050] SUKASADA","[011] PANJI","1. Perkotaan",0.29,"Lainnya",1,4,"Tidak ada","Ada",1
"599",5108050010,"[51] BALI","[08] BULELENG","[050] SUKASADA","[010] SAMBANGAN","1. Perkotaan",0.13,"Lainnya",1,0,"Ada","Ada",1
"600",5108050012,"[51] BALI","[08] BULELENG","[050] SUKASADA","[012] PANJI ANOM","1. Perkotaan",0.27,"Lainnya",1,1,"Tidak ada","Ada",1
"601",5108020021,"[51] BALI","[08] BULELENG","[020] SERIRIT","[021] PANGKUNGPARUK","2. Perdesaan",0.78,"Pertanian Tanaman Pangan",1,1,"Tidak ada","Ada",2
"602",5108020011,"[51] BALI","[08] BULELENG","[020] SERIRIT","[011] TANGGUWISIA","1. Perkotaan",0.16,"Pertanian Tanaman Pangan",1,0,"Ada","Ada",2
"603",5108020005,"[51] BALI","[08] BULELENG","[020] SERIRIT","[005] MAYONG","2. Perdesaan",0.47,"Pertanian Tanaman Pangan",1,2,"Ada","Ada",2
"604",5108020008,"[51] BALI","[08] BULELENG","[020] SERIRIT","[008] RINGDIKIT","1. Perkotaan",0.32,"Pertanian Tanaman Pangan",1,0,"Ada","Ada",2
"605",5108020016,"[51] BALI","[08] BULELENG","[020] SERIRIT","[016] PATEMON","1. Perkotaan",0.31,"Pertanian Tanaman Pangan",1,1,"Tidak ada","Ada",2
"606",5108020019,"[51] BALI","[08] BULELENG","[020] SERIRIT","[019] BANJAR ASEM","1. Perkotaan",0.36,"Pertanian Tanaman Pangan",3,0,"Ada","Ada",2
"607",5108020009,"[51] BALI","[08] BULELENG","[020] SERIRIT","[009] JOANYAR","1. Perkotaan",0.44,"Pertanian Tanaman Pangan",1,1,"Ada","Ada",2
"608",5108020001,"[51] BALI","[08] BULELENG","[020] SERIRIT","[001] UNGGAHAN","2. Perdesaan",0.89,"Lainnya",1,2,"Tidak ada","Ada",2
"609",5108020006,"[51] BALI","[08] BULELENG","[020] SERIRIT","[006] RANGDU","1. Perkotaan",0.23,"Pertanian Tanaman Pangan",1,0,"Tidak ada","Ada",2
"610",5108020013,"[51] BALI","[08] BULELENG","[020] SERIRIT","[013] BUBUNAN","1. Perkotaan",0.06,"Lainnya",1,1,"Tidak ada","Ada",1
"611",5108020007,"[51] BALI","[08] BULELENG","[020] SERIRIT","[007] ULARAN","2. Perdesaan",0.57,"Lainnya",1,0,"Tidak ada","Ada",2
"612",5108020012,"[51] BALI","[08] BULELENG","[020] SERIRIT","[012] SULANYAH","1. Perkotaan",0.08,"Lainnya",3,1,"Tidak ada","Ada",1
"613",5108020018,"[51] BALI","[08] BULELENG","[020] SERIRIT","[018] UMEANYAR","1. Perkotaan",0.13,"Lainnya",1,3,"Tidak ada","Ada",1
"614",5108020004,"[51] BALI","[08] BULELENG","[020] SERIRIT","[004] BESTALA","1. Perkotaan",0.98,"Lainnya",1,0,"Tidak ada","Ada",2
"615",5108020020,"[51] BALI","[08] BULELENG","[020] SERIRIT","[020] KALISADA","1. Perkotaan",0.4,"Pertanian Tanaman Pangan",2,0,"Tidak ada","Ada",2
"616",5108020015,"[51] BALI","[08] BULELENG","[020] SERIRIT","[015] PENGASTULAN","1. Perkotaan",0.27,"Lainnya",0,0,"Tidak ada","Ada",1
"617",5108020003,"[51] BALI","[08] BULELENG","[020] SERIRIT","[003] MUNDUK BESTALA","2. Perdesaan",0.92,"Lainnya",1,0,"Tidak ada","Ada",2
"618",5108020017,"[51] BALI","[08] BULELENG","[020] SERIRIT","[017] LOKAPAKSA","1. Perkotaan",0.36,"Pertanian Tanaman Pangan",1,0,"Ada","Ada",2
"619",5108020014,"[51] BALI","[08] BULELENG","[020] SERIRIT","[014] SERIRIT","1. Perkotaan",0.03,"Lainnya",10,1,"Ada","Ada",1
"620",5108020002,"[51] BALI","[08] BULELENG","[020] SERIRIT","[002] GUNUNGSARI","2. Perdesaan",0.67,"Lainnya",1,0,"Tidak ada","Ada",2
"621",5108020010,"[51] BALI","[08] BULELENG","[020] SERIRIT","[010] KALIANGET","1. Perkotaan",0.18,"Lainnya",2,1,"Ada","Ada",1
"622",5108090004,"[51] BALI","[08] BULELENG","[090] TEJAKULA","[004] BONDALEM","1. Perkotaan",0.35,"Lainnya",1,4,"Ada","Ada",1
"623",5108090001,"[51] BALI","[08] BULELENG","[090] TEJAKULA","[001] SEMBIRAN","1. Perkotaan",0.53,"Lainnya",1,1,"Ada","Ada",2
"624",5108090005,"[51] BALI","[08] BULELENG","[090] TEJAKULA","[005] MADENAN","2. Perdesaan",0.74,"Lainnya",4,1,"Ada","Ada",2
"625",5108090006,"[51] BALI","[08] BULELENG","[090] TEJAKULA","[006] TEJAKULA","1. Perkotaan",0.49,"Lainnya",5,3,"Ada","Ada",2
"626",5108090009,"[51] BALI","[08] BULELENG","[090] TEJAKULA","[009] SAMBIRENTENG","2. Perdesaan",0.95,"Pertanian Tanaman Pangan",1,1,"Ada","Ada",2
"627",5108090008,"[51] BALI","[08] BULELENG","[090] TEJAKULA","[008] PENUKTUKAN","1. Perkotaan",0.94,"Pertanian Tanaman Pangan",3,2,"Ada","Ada",2
"628",5108090010,"[51] BALI","[08] BULELENG","[090] TEJAKULA","[010] TEMBOK","2. Perdesaan",0.28,"Pertanian Tanaman Pangan",1,3,"Ada","Ada",2
"629",5108090007,"[51] BALI","[08] BULELENG","[090] TEJAKULA","[007] LES","1. Perkotaan",0.45,"Pertanian Tanaman Pangan",1,3,"Ada","Ada",2
"630",5108090002,"[51] BALI","[08] BULELENG","[090] TEJAKULA","[002] PACUNG","1. Perkotaan",0.33,"Lainnya",1,2,"Ada","Ada",2
"631",5108090003,"[51] BALI","[08] BULELENG","[090] TEJAKULA","[003] JULAH","1. Perkotaan",0.95,"Lainnya",1,0,"Tidak ada","Ada",2
"632",5108010014,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[014] TUKAD SUMAGA","1. Perkotaan",0.6,"Lainnya",1,0,"Tidak ada","Ada",2
"633",5108010013,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[013] CELUKAN BAWANG","1. Perkotaan",0.19,"Lainnya",1,3,"Tidak ada","Ada",1
"634",5108010004,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[004] PEMUTERAN","1. Perkotaan",0.97,"Lainnya",1,4,"Ada","Ada",2
"635",5108010010,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[010] PATAS","1. Perkotaan",0.84,"Lainnya",1,2,"Tidak ada","Ada",2
"636",5108010012,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[012] TINGA TINGA","2. Perdesaan",0.18,"Lainnya",1,2,"Ada","Ada",1
"637",5108010009,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[009] GEROKGAK","1. Perkotaan",0.37,"Pertanian Tanaman Pangan",2,3,"Ada","Ada",2
"638",5108010008,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[008] SANGGALANGIT","1. Perkotaan",0.31,"Lainnya",1,3,"Tidak ada","Ada",1
"639",5108010002,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[002] PEJARAKAN","2. Perdesaan",1,"Lainnya",2,10,"Ada","Ada",2
"640",5108010006,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[006] PENYABANGAN","2. Perdesaan",0.99,"Lainnya",1,4,"Ada","Ada",2
"641",5108010005,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[005] BANYUPOH","2. Perdesaan",0.99,"Lainnya",1,6,"Ada","Ada",2
"642",5108010011,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[011] PENGULON","2. Perdesaan",0.49,"Lainnya",1,0,"Tidak ada","Ada",2
"643",5108010003,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[003] SUMBERKIMA","2. Perdesaan",0.98,"Lainnya",2,4,"Ada","Ada",2
"644",5108010001,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[001] SUMBER KLAMPOK","2. Perdesaan",1,"Lainnya",1,1,"Ada","Ada",2
"645",5108010007,"[51] BALI","[08] BULELENG","[010] GEROKGAK","[007] MUSI","2. Perdesaan",0.97,"Lainnya",1,1,"Ada","Ada",2
"646",5108060022,"[51] BALI","[08] BULELENG","[060] BULELENG","[022] PENARUKAN","1. Perkotaan",0.04,"Lainnya",3,6,"Ada","Ada",1
"647",5108060023,"[51] BALI","[08] BULELENG","[060] BULELENG","[023] JINENGDALEM","1. Perkotaan",0.18,"Lainnya",1,1,"Ada","Ada",1
"648",5108060008,"[51] BALI","[08] BULELENG","[060] BULELENG","[008] PAKET AGUNG","1. Perkotaan",0.04,"Lainnya",0,1,"Tidak ada","Ada",1
"649",5108060010,"[51] BALI","[08] BULELENG","[060] BULELENG","[010] LILIGUNDI","1. Perkotaan",0.01,"Lainnya",1,0,"Tidak ada","Ada",1
"650",5108060002,"[51] BALI","[08] BULELENG","[060] BULELENG","[002] ANTURAN","1. Perkotaan",0.15,"Lainnya",1,1,"Tidak ada","Ada",1
"651",5108060014,"[51] BALI","[08] BULELENG","[060] BULELENG","[014] BANJAR JAWA","1. Perkotaan",0,"Lainnya",2,2,"Tidak ada","Ada",1
"652",5108060003,"[51] BALI","[08] BULELENG","[060] BULELENG","[003] TUKADMUNGGA","1. Perkotaan",0.2,"Pertanian Tanaman Pangan",2,5,"Tidak ada","Ada",2
"653",5108060012,"[51] BALI","[08] BULELENG","[060] BULELENG","[012] KENDRAN","1. Perkotaan",0,"Lainnya",3,1,"Tidak ada","Ada",1
"654",5108060013,"[51] BALI","[08] BULELENG","[060] BULELENG","[013] ASTINA","1. Perkotaan",0,"Lainnya",0,3,"Ada","Ada",1
"655",5108060029,"[51] BALI","[08] BULELENG","[060] BULELENG","[029] POH BERGONG","2. Perdesaan",0.12,"Lainnya",1,1,"Tidak ada","Ada",1
"656",5108060028,"[51] BALI","[08] BULELENG","[060] BULELENG","[028] ALASANGKER","1. Perkotaan",0.19,"Lainnya",1,3,"Tidak ada","Ada",1
"657",5108060005,"[51] BALI","[08] BULELENG","[060] BULELENG","[005] BAKTISERAGA","1. Perkotaan",0.03,"Lainnya",4,5,"Tidak ada","Ada",1
"658",5108060018,"[51] BALI","[08] BULELENG","[060] BULELENG","[018] KAMPUNG ANYAR","1. Perkotaan",0.01,"Lainnya",0,0,"Tidak ada","Ada",1
"659",5108060004,"[51] BALI","[08] BULELENG","[060] BULELENG","[004] PEMARON","1. Perkotaan",0.03,"Lainnya",2,1,"Tidak ada","Ada",1
"660",5108060007,"[51] BALI","[08] BULELENG","[060] BULELENG","[007] BANJAR TEGAL","1. Perkotaan",0.02,"Lainnya",0,3,"Tidak ada","Ada",1
"661",5108060024,"[51] BALI","[08] BULELENG","[060] BULELENG","[024] PENGLATAN","1. Perkotaan",0.1,"Lainnya",1,0,"Ada","Ada",1
"662",5108060006,"[51] BALI","[08] BULELENG","[060] BULELENG","[006] BANYUASRI","1. Perkotaan",0.01,"Lainnya",5,1,"Tidak ada","Ada",1
"663",5108060009,"[51] BALI","[08] BULELENG","[060] BULELENG","[009] BERATAN","1. Perkotaan",0.01,"Lainnya",0,0,"Tidak ada","Ada",1
"664",5108060021,"[51] BALI","[08] BULELENG","[060] BULELENG","[021] BANYUNING","1. Perkotaan",0.03,"Lainnya",4,8,"Ada","Ada",1
"665",5108060026,"[51] BALI","[08] BULELENG","[060] BULELENG","[026] SARI MEKAR","1. Perkotaan",0.19,"Lainnya",1,0,"Ada","Ada",1
"666",5108060015,"[51] BALI","[08] BULELENG","[060] BULELENG","[015] BANJAR BALI","1. Perkotaan",0,"Lainnya",7,2,"Tidak ada","Ada",1
"667",5108060011,"[51] BALI","[08] BULELENG","[060] BULELENG","[011] KAMPUNG SINGARAJA","1. Perkotaan",0,"Lainnya",0,0,"Tidak ada","Ada",1
"668",5108060016,"[51] BALI","[08] BULELENG","[060] BULELENG","[016] KAMPUNG KAJANAN","1. Perkotaan",0,"Lainnya",3,2,"Tidak ada","Ada",1
"669",5108060019,"[51] BALI","[08] BULELENG","[060] BULELENG","[019] KAMPUNG BUGIS","1. Perkotaan",0.01,"Lainnya",1,0,"Tidak ada","Ada",1
"670",5108060025,"[51] BALI","[08] BULELENG","[060] BULELENG","[025] PETANDAKAN","1. Perkotaan",0.14,"Lainnya",1,1,"Tidak ada","Ada",1
"671",5108060027,"[51] BALI","[08] BULELENG","[060] BULELENG","[027] NAGASEPAHA","1. Perkotaan",0.1,"Lainnya",1,1,"Ada","Ada",1
"672",5108060001,"[51] BALI","[08] BULELENG","[060] BULELENG","[001] KALIBUKBUK","1. Perkotaan",0.03,"Lainnya",3,1,"Ada","Ada",1
"673",5108060020,"[51] BALI","[08] BULELENG","[060] BULELENG","[020] KAMPUNG BARU","1. Perkotaan",0.02,"Lainnya",1,0,"Tidak ada","Ada",1
"674",5108060017,"[51] BALI","[08] BULELENG","[060] BULELENG","[017] KALIUNTU","1. Perkotaan",0.01,"Lainnya",8,0,"Tidak ada","Ada",1
"675",5171010010,"[51] BALI","[71] DENPASAR","[010] DENPASAR SELATAN","[010] SANUR KAJA","1. Perkotaan",0.01,"Lainnya",7,9,"Tidak ada","Ada",1
"676",5171010003,"[51] BALI","[71] DENPASAR","[010] DENPASAR SELATAN","[003] SESETAN","1. Perkotaan",0,"Lainnya",8,11,"Tidak ada","Ada",1
"677",5171010002,"[51] BALI","[71] DENPASAR","[010] DENPASAR SELATAN","[002] PEDUNGAN","1. Perkotaan",0.02,"Lainnya",8,35,"Tidak ada","Ada",1
"678",5171010009,"[51] BALI","[71] DENPASAR","[010] DENPASAR SELATAN","[009] SANUR","1. Perkotaan",0.01,"Lainnya",10,9,"Tidak ada","Ada",1
"679",5171010008,"[51] BALI","[71] DENPASAR","[010] DENPASAR SELATAN","[008] SANUR KAUH","1. Perkotaan",0.01,"Lainnya",4,15,"Tidak ada","Ada",1
"680",5171010007,"[51] BALI","[71] DENPASAR","[010] DENPASAR SELATAN","[007] RENON","1. Perkotaan",0.01,"Lainnya",4,11,"Ada","Ada",1
"681",5171010006,"[51] BALI","[71] DENPASAR","[010] DENPASAR SELATAN","[006] PANJER","1. Perkotaan",0.01,"Lainnya",7,13,"Tidak ada","Ada",1
"682",5171010001,"[51] BALI","[71] DENPASAR","[010] DENPASAR SELATAN","[001] PEMOGAN","1. Perkotaan",0.01,"Lainnya",10,24,"Ada","Ada",1
"683",5171010005,"[51] BALI","[71] DENPASAR","[010] DENPASAR SELATAN","[005] SIDAKARYA","1. Perkotaan",0.02,"Lainnya",2,12,"Tidak ada","Ada",1
"684",5171010004,"[51] BALI","[71] DENPASAR","[010] DENPASAR SELATAN","[004] SERANGAN","1. Perkotaan",0.23,"Lainnya",0,8,"Ada","Ada",1
"685",5171031003,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[003] DANGIN PURI KAUH","1. Perkotaan",0,"Lainnya",1,1,"Tidak ada","Ada",1
"686",5171031005,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[005] DANGIN PURI KANGIN","1. Perkotaan",0,"Lainnya",6,20,"Tidak ada","Ada",1
"687",5171031010,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[010] PEGUYANGAN KAJA","1. Perkotaan",0.08,"Lainnya",2,7,"Ada","Tidak ada",1
"688",5171031008,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[008] UBUNG","1. Perkotaan",0,"Lainnya",6,12,"Tidak ada","Ada",1
"689",5171031002,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[002] DAUH PURI KAJA","1. Perkotaan",0,"Lainnya",5,10,"Tidak ada","Ada",1
"690",5171031011,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[011] PEGUYANGAN KANGIN","1. Perkotaan",0.02,"Lainnya",2,11,"Tidak ada","Ada",1
"691",5171031006,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[006] TONJA","1. Perkotaan",0,"Lainnya",16,11,"Tidak ada","Ada",1
"692",5171031007,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[007] PEGUYANGAN","1. Perkotaan",0.05,"Lainnya",2,11,"Ada","Ada",1
"693",5171031004,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[004] DANGIN PURI KAJA","1. Perkotaan",0.01,"Lainnya",8,5,"Tidak ada","Ada",1
"694",5171031001,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[001] PEMECUTAN KAJA","1. Perkotaan",0,"Lainnya",9,5,"Tidak ada","Ada",1
"695",5171031009,"[51] BALI","[71] DENPASAR","[031] DENPASAR UTARA","[009] UBUNG  KAJA","1. Perkotaan",0.02,"Lainnya",2,8,"Ada","Ada",1
"696",5171030006,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[006] DAUH PURI KANGIN","1. Perkotaan",0,"Lainnya",5,3,"Tidak ada","Ada",1
"697",5171030008,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[008] TEGAL HARUM","1. Perkotaan",0,"Lainnya",4,3,"Tidak ada","Ada",1
"698",5171030004,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[004] DAUH PURI KLOD","1. Perkotaan",0,"Lainnya",29,7,"Tidak ada","Ada",1
"699",5171030011,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[011] PADANGSAMBIAN KAJA","1. Perkotaan",0.01,"Lainnya",5,7,"Tidak ada","Ada",1
"700",5171030010,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[010] PADANGSAMBIAN","1. Perkotaan",0,"Lainnya",4,7,"Tidak ada","Ada",1
"701",5171030007,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[007] PEMECUTAN","1. Perkotaan",0,"Lainnya",15,3,"Tidak ada","Ada",1
"702",5171030002,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[002] PEMECUTAN KLOD","1. Perkotaan",0,"Lainnya",11,11,"Tidak ada","Ada",1
"703",5171030001,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[001] PADANGSAMBIAN KLOD","1. Perkotaan",0.01,"Lainnya",10,4,"Tidak ada","Tidak ada",1
"704",5171030003,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[003] DAUH PURI KAUH","1. Perkotaan",0,"Lainnya",13,6,"Tidak ada","Ada",1
"705",5171030005,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[005] DAUH PURI","1. Perkotaan",0,"Lainnya",6,10,"Tidak ada","Ada",1
"706",5171030009,"[51] BALI","[71] DENPASAR","[030] DENPASAR BARAT","[009] TEGAL KERTHA","1. Perkotaan",0,"Lainnya",4,1,"Tidak ada","Ada",1
"707",5171020015,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[015] PENATIH DANGIN PURI","1. Perkotaan",0.07,"Pertanian Tanaman Pangan",0,3,"Ada","Ada",2
"708",5171020003,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[003] KESIMAN","1. Perkotaan",0.02,"Lainnya",4,4,"Tidak ada","Ada",1
"709",5171020014,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[014] PENATIH","1. Perkotaan",0.03,"Lainnya",6,7,"Ada","Ada",1
"710",5171020002,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[002] SUMERTA KELOD","1. Perkotaan",0.01,"Lainnya",9,2,"Tidak ada","Ada",1
"711",5171020006,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[006] SUMERTA","1. Perkotaan",0,"Lainnya",4,4,"Tidak ada","Ada",1
"712",5171020001,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[001] DANGIN PURI KLOD","1. Perkotaan",0,"Lainnya",8,2,"Tidak ada","Ada",1
"713",5171020008,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[008] SUMERTA KAUH","1. Perkotaan",0,"Lainnya",3,1,"Tidak ada","Ada",1
"714",5171020007,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[007] SUMERTA KAJA","1. Perkotaan",0,"Lainnya",1,3,"Tidak ada","Ada",1
"715",5171020005,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[005] KESIMAN KERTALANGU","1. Perkotaan",0.02,"Lainnya",8,8,"Ada","Ada",1
"716",5171020010,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[010] DANGIN PURI","1. Perkotaan",0,"Lainnya",2,1,"Tidak ada","Ada",1
"717",5171020004,"[51] BALI","[71] DENPASAR","[020] DENPASAR TIMUR","[004] KESIMAN PETILAN","1. Perkotaan",0.01,"Lainnya",2,7,"Ada","Ada",1
