system:index,akurasi,generatif,iddesa,nonsawah,persiapan,vegetatif1,vegetatif2,.geo
0,0.988,0.0,5103010005,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.988,2.4936855533614795,5103010006,10.321040016347835,6.502840943998454,7.341219858171064,4.119278994308169,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.988,7.834832029131726,5103010003,11.188221151374377,22.02350502196067,38.97867873494468,20.53357731530283,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.988,10.935479564005545,5103010004,66.02530846759909,22.13500796156946,132.78305515030243,35.47758864066331,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.988,4.80826348783605,5103010001,3.0563839276003364,1.7823597101667805,6.86235846612669,9.163613642147304,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.988,12.667494537389437,5103010002,16.463180455058993,13.933350984233773,52.03614044068573,20.862986348936786,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.988,1.5412959828455304,5103020004,1.6049275668514476,0.7885218344415404,1.1020497104899087,0.46328256134631596,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.988,4.295194433210788,5103020005,16.733680989726963,4.822433753757851,11.527589368393858,4.053129768820373,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.988,0.0,5103020002,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.988,0.040364770424038764,5103020003,0.08427278198242188,0.0,0.0972149797147863,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.988,0.0,5103020001,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.988,68.97716902852375,5103030005,118.30186909541115,48.29792991648953,124.64301592045781,45.16131579247569,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.988,19.772470379064224,5103030006,60.4775859842697,69.4401165916293,46.645841459506094,37.42753136084458,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.988,19.39574569533406,5103030003,12.651383160639737,15.885148061942283,21.654834680127944,14.562533511196962,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.988,73.79573743255024,5103030004,131.28963648387233,46.76483349770942,104.14503125886816,49.21272716957237,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.988,41.8581395903824,5103030001,83.69601625844909,30.159812124945013,79.19064032619113,25.737995339738482,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.988,41.3411241744456,5103030002,58.049724465415785,27.506731088556002,56.86690833883851,16.339110281312244,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.988,25.20255201400451,5103040008,21.782647206492683,49.47556143650418,53.39989150929169,16.456342483053813,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.988,30.106526394485744,5103040009,34.3928863450234,74.72599332622462,100.59353099985161,40.72857928533823,"{""type"":""MultiPoint"",""coordinates"":[]}"
