system:index,akurasi,generatif,iddesa,nonsawah,persiapan,vegetatif1,vegetatif2,.geo
0,1,0.0,5103010005,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1,8.595900272109102,5103010006,7.674065924862142,4.611706725487806,7.425040743204765,2.471351700523226,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1,11.05327045594459,5103010003,11.575102612903077,5.011327000564877,28.791065380261013,44.12804880304079,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1,36.701583791120996,5103010004,42.33127027212126,14.24195676669252,70.68383436442093,103.39779458978396,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1,2.658253980820601,5103010001,3.865413883379769,0.9710418571681603,9.084030748219222,9.094238764289432,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1,15.013027395749589,5103010002,20.178619814261697,5.794727646651926,32.751049512233344,42.22572839740829,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1,1.1040511706423295,5103020004,1.0918813708974802,0.5985542903167126,1.720171664763806,0.9854191593544157,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1,8.04217831258138,5103020005,6.228481942306211,8.665320993173607,13.627575051078074,4.868472014770507,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1,0.0,5103020002,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1,0.0425214444029565,5103020003,0.05577109408509498,0.004776016893573836,0.040672914225260426,0.07811106251436122,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1,0.0,5103020001,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1,83.52580584314705,5103030005,93.75397329386372,36.61676444314394,138.82466052459128,52.6600956486122,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1,57.46147698762781,5103030006,82.07506640736314,19.716801341289475,55.855370534261084,18.654830504772708,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1,13.412412149634267,5103030003,13.111351285986789,2.7823978792317705,33.11295510806816,21.730528686319996,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1,88.05087183166498,5103030004,92.98928395780652,33.22200454820826,128.55862803967034,62.38717746522204,"{""type"":""MultiPoint"",""coordinates"":[]}"
