iddesa,nonsawah,persiapan,vegetatif1,vegetatif2,generatif,real_nonsawah,real_persiapan,real_vegetatif1,real_vegetatif2,real_generatif
5104030013,0.255046916,0.175131749,0.176749477,0.196127001,0.196944856,15.33232173,10.52816622,10.62541705,11.79031029,11.83947617
5104030014,0.168205356,0.146129626,0.442203586,0.13089895,0.112562482,32.38982605,28.13889686,85.15125549,25.20605964,21.67516714
5104030011,0.147092141,0.106683229,0.345901084,0.178390466,0.22193308,43.86907343,31.81743349,103.1622758,53.20355249,66.18979431
5104030012,0.201822915,0.105826067,0.204801825,0.225973296,0.261575897,50.45900706,26.45823585,51.203783,56.49699478,65.39822329
5104030010,0.158583511,0.097917224,0.32562037,0.241297605,0.17658129,42.422721,26.19386491,87.10679934,64.54959208,47.23731207
5104040007,0.343260739,0.161667475,0.128037888,0.107912192,0.259121706,114.0412779,53.71067351,42.53793877,35.85159272,86.08782518
5104040008,0.323618872,0.068479527,0.173767982,0.215468207,0.218665413,43.4383917,9.191801731,23.32435569,28.92165193,29.35080331
5104040005,0.208232102,0.279445889,0.247151454,0.081793559,0.183376997,43.39422984,58.23472472,51.50477229,17.0452513,38.21458588
5104040006,0.234169554,0.176191474,0.121962008,0.175391352,0.292285612,24.48113245,18.41984475,12.7504538,18.3361964,30.55684512
5104040003,0.293315827,0.128070586,0.179882976,0.175205486,0.223525126,21.29296271,9.297153306,13.0584208,12.71886321,16.22657807
5104040004,0.166185687,0.147560714,0.294910993,0.200487896,0.19085471,37.01750183,32.86882935,65.69078473,44.65824461,42.51247322
5104040001,0.318908758,0.245895296,0.247849185,0.065292564,0.122054197,51.70673319,39.86858987,40.18538653,10.58630442,19.78943387
5104040002,0.256205533,0.149395671,0.179429205,0.216444349,0.198525242,33.86001144,19.7440667,23.71328545,28.60519073,26.23700941
5104050008,0.117433002,0.13342491,0.281841839,0.289734128,0.177566122,24.58882667,27.93730842,59.01373576,60.66627057,37.17986036
5104050006,0.196420778,0.190877666,0.215665571,0.185194047,0.211841938,70.60464942,68.61214379,77.52230813,66.56913225,76.14787987
5104050007,0.156060725,0.235854635,0.233608892,0.221268589,0.153207158,41.98001906,63.44441908,62.84031887,59.52080226,41.21241528
5104050004,0.151519487,0.105437462,0.213101704,0.28235211,0.247589237,35.27728753,24.54831214,49.61507079,65.73818833,57.64457677
5104050005,0.10960198,0.132802106,0.244563962,0.303714055,0.209317897,17.55144447,21.26666678,39.16398944,48.63616855,33.5197543
5104050002,0.230185177,0.168251675,0.189240027,0.17307702,0.239246101,100.620016,73.54724769,82.72181007,75.65653353,104.580785
5104050003,0.196798054,0.152235366,0.232976454,0.202675956,0.215314171,80.52189571,62.28862562,95.32465066,82.92689822,88.09795066
5104050001,0.353562872,0.180613015,0.172673161,0.11683502,0.176315932,161.328155,82.41239875,78.78950162,53.31096592,80.45167126
5104060007,0.274968384,0.115873474,0.159459015,0.264999526,0.184699601,75.82675773,31.95389128,43.97327399,73.07769184,50.93375349
5104060005,0.26411105,0.130716608,0.124897476,0.225913705,0.254361161,35.84059808,17.73860434,16.94893196,30.65711293,34.51751116
5104060006,0.327673519,0.136603594,0.273837648,0.183085946,0.078799294,62.79001637,26.17648791,52.47378697,35.08360881,15.09981323
5104060003,0.241906839,0.09141587,0.289322302,0.176323988,0.201031001,77.30812727,29.21450972,92.46107059,56.34928467,64.24510484
5104060004,0.232845997,0.092690323,0.306241093,0.227900081,0.140322505,63.97444314,25.46666848,84.13974732,62.61555259,38.55361136
5104060001,0.084044392,0.058353567,0.608905815,0.178731705,0.069964522,16.00738733,11.11422341,115.9743206,34.04186262,13.3256863
5104060002,0.259202923,0.078564658,0.332040206,0.175036832,0.155155381,67.4605314,20.44735258,86.41726898,45.55534168,40.38096625
5104070006,0.336911059,0.17675419,0.158210015,0.137797617,0.19032712,47.34914873,24.84085994,22.23467982,19.36594146,26.74838616
5104070007,0.339774986,0.163073313,0.081451304,0.094547044,0.321153353,61.40012231,29.468683,14.71891759,17.08542504,58.0350408
5104070004,0.087902402,0.18460524,0.331130879,0.142752571,0.253608908,9.369357289,19.67673711,35.29463885,15.21573724,27.03171274
5104070005,0.170823324,0.069636259,0.327346601,0.33031944,0.101874375,35.19807031,14.34852035,67.44962222,68.0621743,20.99116984
5104070002,0.138722101,0.074376268,0.464100943,0.220662927,0.102137761,30.32707288,16.25995049,101.4605676,48.24076781,22.32909758
5104070003,0.070101826,0.072133699,0.556108457,0.161502882,0.140153136,16.57143866,17.05175503,131.4590178,38.17782309,33.13093586
5104070001,0.054048175,0.158290033,0.290824025,0.261957132,0.234880634,8.491051966,24.86760905,45.68890428,41.15387071,36.90011091
5104070008,0.180555803,0.069651116,0.153776688,0.309277269,0.286739124,32.08301318,12.37632709,27.3246244,54.9555679,50.95075833
5104070009,0.25024297,0.157105679,0.206168247,0.177390424,0.209092679,63.40472665,39.80628354,52.2373969,44.94588335,52.97836787
5101010009,0.24342113,0.148732692,0.356519071,0.136899679,0.114427429,118.485128,72.39557226,173.5355012,66.6358584,55.69750077
5101010010,0,0,0.962623653,0.037376347,0,0,0,1.020973525,0.039641931,0
5101010007,0.200043099,0.038404437,0.516188116,0.167416164,0.077948184,74.98354265,14.39540139,193.4863725,62.75376224,29.2178584
5101010008,0.202973964,0.161599113,0.423578875,0.142178894,0.069669154,99.53555858,79.24591732,207.7170833,69.72251671,34.16476671
5101010005,0.208241297,0.102574141,0.371498477,0.185061277,0.132624808,230.4079317,113.4928376,411.0433267,204.7604705,146.7423032
5101010006,0.176089889,0.056859406,0.402069736,0.194810037,0.170170932,140.3690863,45.32516265,320.5076773,155.2917486,135.650822
5101010003,0.174071054,0.056493768,0.569793234,0.16042926,0.039212685,52.90245167,17.16918916,173.1675565,48.75653352,11.91724368
5101010004,0.322725513,0.101679892,0.379857471,0.120221415,0.075515709,149.4044468,47.07228695,175.8534511,55.65600891,34.95968641
5101010001,0,0,0,0,0,0,0,0,0,0
5101010002,0.251644168,0.069171419,0.538545492,0.126181339,0.014457582,173.5026695,47.69204842,371.3143091,86.99903226,9.968159008
5101020017,0.171790504,0.15431103,0.344599519,0.168939926,0.160359021,251.6667084,226.0599274,504.8254965,247.4907163,234.9200101
5101020018,0.185173219,0.079023614,0.470363448,0.15609699,0.109342728,87.33823923,37.2720384,221.850198,73.62423307,51.57225966
5101020015,0.161082557,0.112577506,0.533805006,0.170896208,0.021638723,97.1549825,67.89975156,321.9579879,103.0739663,13.05113241
5101020016,0.256343757,0.106935466,0.466289007,0.134891059,0.035540711,161.9665391,67.56539574,294.6169542,85.22867201,22.45580721
5101020013,0.075137933,0.296486257,0.344623148,0.203464024,0.080288638,37.66733814,148.6312927,172.7627595,101.9983901,40.24943402
5101020014,0.325956088,0.319397292,0.211948473,0.106012653,0.036685494,9.135850447,8.952021476,5.940461373,2.971307419,1.028215775
5101020012,0.153257239,0.203731737,0.472037067,0.1345738,0.036400156,0.953704527,1.2678023,2.93743963,0.837439351,0.226514545
5101020004,0.059542,0.225937646,0.338047362,0.269798576,0.106674416,19.11542674,72.53526172,108.5270839,86.61642102,34.24686766
5101020002,0.12044552,0.118941758,0.488189728,0.226286381,0.046136614,40.56170195,40.0552893,164.4046728,76.20508251,15.53714561
5101020003,0.099931381,0.133992155,0.452687929,0.262239977,0.051148559,26.91751676,36.09212675,121.93602,70.63695993,13.77737569
5101020001,0.248954406,0.082892225,0.529955631,0.120610117,0.017587621,44.89353931,14.94781877,95.56602873,21.74942438,3.171546763
5101020019,0.138855808,0.146757647,0.467994962,0.163281168,0.083110415,48.79191452,51.56850631,164.4466343,57.37463148,29.20379294
5101021007,0.111835161,0.402239567,0.39872972,0.071196255,0.015999297,17.79497196,64.00350105,63.44502167,11.32859599,2.545773985
5101021008,0.115396184,0.118768712,0.439544944,0.233330316,0.092959845,46.30188626,47.65508869,176.3642379,93.6221058,37.29946702
